SalesDate;Year;Quarter;Month;Week;Day;FiscalYear;FiscalQuarter;FiscalMonth;FiscalWeek;FiscalDay
;;;;;; 0; 3; 9; 40; 0
;;;;;;;;;;
01/01/2005; 2005; 1; 1; 1; 1; 2005; 4; 10; 41; 1
01/02/2005; 2005; 1; 1; 2; 2; 2005; 4; 10; 42; 2
01/03/2005; 2005; 1; 1; 2; 3; 2005; 4; 10; 42; 3
01/04/2005; 2005; 1; 1; 2; 4; 2005; 4; 10; 42; 4
01/05/2005; 2005; 1; 1; 2; 5; 2005; 4; 10; 42; 5
01/06/2005; 2005; 1; 1; 2; 6; 2005; 4; 10; 42; 6
01/07/2005; 2005; 1; 1; 2; 7; 2005; 4; 10; 42; 7
01/08/2005; 2005; 1; 1; 2; 8; 2005; 4; 10; 42; 8
01/09/2005; 2005; 1; 1; 3; 9; 2005; 4; 10; 43; 9
01/10/2005; 2005; 1; 1; 3; 10; 2005; 4; 10; 43; 10
01/11/2005; 2005; 1; 1; 3; 11; 2005; 4; 10; 43; 11
01/12/2005; 2005; 1; 1; 3; 12; 2005; 4; 10; 43; 12
01/13/2005; 2005; 1; 1; 3; 13; 2005; 4; 10; 43; 13
01/14/2005; 2005; 1; 1; 3; 14; 2005; 4; 10; 43; 14
01/15/2005; 2005; 1; 1; 3; 15; 2005; 4; 10; 43; 15
01/16/2005; 2005; 1; 1; 4; 16; 2005; 4; 10; 44; 16
01/17/2005; 2005; 1; 1; 4; 17; 2005; 4; 10; 44; 17
01/18/2005; 2005; 1; 1; 4; 18; 2005; 4; 10; 44; 18
01/19/2005; 2005; 1; 1; 4; 19; 2005; 4; 10; 44; 19
01/20/2005; 2005; 1; 1; 4; 20; 2005; 4; 10; 44; 20
01/21/2005; 2005; 1; 1; 4; 21; 2005; 4; 10; 44; 21
01/22/2005; 2005; 1; 1; 4; 22; 2005; 4; 10; 44; 22
01/23/2005; 2005; 1; 1; 5; 23; 2005; 4; 10; 45; 23
01/24/2005; 2005; 1; 1; 5; 24; 2005; 4; 10; 45; 24
01/25/2005; 2005; 1; 1; 5; 25; 2005; 4; 10; 45; 25
01/26/2005; 2005; 1; 1; 5; 26; 2005; 4; 10; 45; 26
01/27/2005; 2005; 1; 1; 5; 27; 2005; 4; 10; 45; 27
01/28/2005; 2005; 1; 1; 5; 28; 2005; 4; 10; 45; 28
01/29/2005; 2005; 1; 1; 5; 29; 2005; 4; 10; 45; 29
01/30/2005; 2005; 1; 1; 6; 30; 2005; 4; 10; 46; 30
01/31/2005; 2005; 1; 1; 6; 31; 2005; 4; 10; 46; 31
02/01/2005; 2005; 1; 2; 6; 1; 2005; 4; 11; 46; 1
02/02/2005; 2005; 1; 2; 6; 2; 2005; 4; 11; 46; 2
02/03/2005; 2005; 1; 2; 6; 3; 2005; 4; 11; 46; 3
02/04/2005; 2005; 1; 2; 6; 4; 2005; 4; 11; 46; 4
02/05/2005; 2005; 1; 2; 6; 5; 2005; 4; 11; 46; 5
02/06/2005; 2005; 1; 2; 7; 6; 2005; 4; 11; 47; 6
02/07/2005; 2005; 1; 2; 7; 7; 2005; 4; 11; 47; 7
02/08/2005; 2005; 1; 2; 7; 8; 2005; 4; 11; 47; 8
02/09/2005; 2005; 1; 2; 7; 9; 2005; 4; 11; 47; 9
02/10/2005; 2005; 1; 2; 7; 10; 2005; 4; 11; 47; 10
02/11/2005; 2005; 1; 2; 7; 11; 2005; 4; 11; 47; 11
02/12/2005; 2005; 1; 2; 7; 12; 2005; 4; 11; 47; 12
02/13/2005; 2005; 1; 2; 8; 13; 2005; 4; 11; 48; 13
02/14/2005; 2005; 1; 2; 8; 14; 2005; 4; 11; 48; 14
02/15/2005; 2005; 1; 2; 8; 15; 2005; 4; 11; 48; 15
02/16/2005; 2005; 1; 2; 8; 16; 2005; 4; 11; 48; 16
02/17/2005; 2005; 1; 2; 8; 17; 2005; 4; 11; 48; 17
02/18/2005; 2005; 1; 2; 8; 18; 2005; 4; 11; 48; 18
02/19/2005; 2005; 1; 2; 8; 19; 2005; 4; 11; 48; 19
02/20/2005; 2005; 1; 2; 9; 20; 2005; 4; 11; 49; 20
02/21/2005; 2005; 1; 2; 9; 21; 2005; 4; 11; 49; 21
02/22/2005; 2005; 1; 2; 9; 22; 2005; 4; 11; 49; 22
02/23/2005; 2005; 1; 2; 9; 23; 2005; 4; 11; 49; 23
02/24/2005; 2005; 1; 2; 9; 24; 2005; 4; 11; 49; 24
02/25/2005; 2005; 1; 2; 9; 25; 2005; 4; 11; 49; 25
02/26/2005; 2005; 1; 2; 9; 26; 2005; 4; 11; 49; 26
02/27/2005; 2005; 1; 2; 10; 27; 2005; 4; 11; 50; 27
02/28/2005; 2005; 1; 2; 10; 28; 2005; 4; 11; 50; 28
03/01/2005; 2005; 1; 3; 10; 1; 2005; 4; 12; 50; 1
03/02/2005; 2005; 1; 3; 10; 2; 2005; 4; 12; 50; 2
03/03/2005; 2005; 1; 3; 10; 3; 2005; 4; 12; 50; 3
03/04/2005; 2005; 1; 3; 10; 4; 2005; 4; 12; 50; 4
03/05/2005; 2005; 1; 3; 10; 5; 2005; 4; 12; 50; 5
03/06/2005; 2005; 1; 3; 11; 6; 2005; 4; 12; 51; 6
03/07/2005; 2005; 1; 3; 11; 7; 2005; 4; 12; 51; 7
03/08/2005; 2005; 1; 3; 11; 8; 2005; 4; 12; 51; 8
03/09/2005; 2005; 1; 3; 11; 9; 2005; 4; 12; 51; 9
03/10/2005; 2005; 1; 3; 11; 10; 2005; 4; 12; 51; 10
03/11/2005; 2005; 1; 3; 11; 11; 2005; 4; 12; 51; 11
03/12/2005; 2005; 1; 3; 11; 12; 2005; 4; 12; 51; 12
03/13/2005; 2005; 1; 3; 12; 13; 2005; 4; 12; 24; 13
03/14/2005; 2005; 1; 3; 12; 14; 2005; 4; 12; 24; 14
03/15/2005; 2005; 1; 3; 12; 15; 2005; 4; 12; 24; 15
03/16/2005; 2005; 1; 3; 12; 16; 2005; 4; 12; 24; 16
03/17/2005; 2005; 1; 3; 12; 17; 2005; 4; 12; 24; 17
03/18/2005; 2005; 1; 3; 12; 18; 2005; 4; 12; 24; 18
03/19/2005; 2005; 1; 3; 12; 19; 2005; 4; 12; 24; 19
03/20/2005; 2005; 1; 3; 13; 20; 2005; 4; 12; 25; 20
03/21/2005; 2005; 1; 3; 13; 21; 2005; 4; 12; 25; 21
