InvoiceID,Amt,Qty,Discounted,InvoiceSource,customer_SK,product_SK,SaleDate_SK,supplier_SK,Method_SK,OrderDate_SK
11,2565.5,18,Y,TPCE,89,144,2325,13,37,1
20,329.9,2,N,TPCE,88,144,2417,13,37,1
28,2309.6,14,N,TPCE,115,144,778,13,37,1
35,824.9,5,N,TPCE,86,144,545,13,37,1
43,3299.4,20,N,TPCE,100,144,786,13,37,1
46,2969.5,18,N,TPCE,107,144,990,13,37,1
50,2969.5,18,N,TPCE,95,144,157,13,37,1
67,824.9,5,N,TPCE,115,144,1594,13,37,1
70,2309.6,14,N,TPCE,85,144,170,13,37,1
106,1154.8,7,N,TPCE,92,144,1963,13,37,1
110,2969.5,18,N,TPCE,98,144,1261,13,37,1
113,2144.6,13,N,TPCE,95,144,921,13,37,1
115,3134.4,19,N,TPCE,82,144,2115,13,37,1
131,1319.8,8,N,TPCE,112,144,890,13,37,1
134,1154.8,7,N,TPCE,120,144,42,13,37,1
138,2144.6,13,N,TPCE,90,144,1969,13,37,1
139,329.9,2,N,TPCE,105,144,1815,13,37,1
153,2474.6,15,N,TPCE,81,144,2205,13,37,1
158,329.9,2,N,TPCE,99,144,1036,13,37,1
163,2309.6,14,N,TPCE,110,144,2170,13,37,1
164,2144.6,13,N,TPCE,115,144,332,13,37,1
167,2804.5,17,N,TPCE,110,144,546,13,37,1
185,2969.5,18,N,TPCE,107,144,72,13,37,1
200,1154.8,7,N,TPCE,114,144,571,13,37,1
247,2639.5,26,N,TPCE,101,144,1526,13,37,1
249,2639.5,16,N,TPCE,106,144,2119,13,37,1
263,3134.4,19,N,TPCE,93,144,117,13,37,1
271,1979.6,12,N,TPCE,113,144,288,13,37,1
295,1319.8,8,N,TPCE,116,144,1960,13,37,1
297,1319.8,8,N,TPCE,112,144,2419,13,37,1
298,989.8,6,N,TPCE,109,144,2471,13,37,1
333,659.9,4,N,TPCE,103,144,1421,13,37,1
351,1814.7,11,N,TPCE,96,144,220,13,37,1
359,989.8,6,N,TPCE,88,144,1090,13,37,1
368,989.8,6,N,TPCE,104,144,2273,13,37,1
373,3134.4,19,N,TPCE,113,144,2144,13,37,1
374,659.9,4,N,TPCE,94,144,84,13,37,1
378,2144.6,13,N,TPCE,89,144,1455,13,37,1
379,494.9,3,N,TPCE,110,144,310,13,37,1
390,2639.5,16,N,TPCE,117,144,749,13,37,1
399,1319.8,8,N,TPCE,112,144,1360,13,37,1
401,2969.5,18,N,TPCE,109,144,1848,13,37,1
408,989.8,6,N,TPCE,101,144,982,13,37,1
419,2969.5,18,N,TPCE,106,144,1083,13,37,1
427,329.9,2,N,TPCE,88,144,172,13,37,1
444,1979.6,12,N,TPCE,113,144,1970,13,37,1
445,329.9,2,N,TPCE,83,144,253,13,37,1
448,3299.4,20,N,TPCE,121,144,1864,13,37,1
449,1484.7,9,N,TPCE,117,144,424,13,37,1
472,2309.6,14,N,TPCE,101,144,1941,13,37,1
492,3299.4,20,N,TPCE,113,144,1509,13,37,1
513,1814.7,11,N,TPCE,102,144,243,13,37,1
521,1319.8,8,N,TPCE,119,144,384,13,37,1
531,2804.5,17,N,TPCE,105,144,985,13,37,1
542,2309.6,14,N,TPCE,96,144,1103,13,37,1
560,329.9,2,N,TPCE,114,144,2445,13,37,1
593,1319.8,8,N,TPCE,111,144,98,13,37,1
607,2474.6,15,N,TPCE,93,144,640,13,37,1
620,1979.6,12,N,TPCE,91,144,424,13,37,1
624,1979.6,12,N,TPCE,92,144,900,13,37,1
632,989.8,6,N,TPCE,89,144,2095,13,37,1
649,2969.5,18,N,TPCE,103,144,1233,13,37,1
662,1814.7,11,N,TPCE,83,144,716,13,37,1
664,2969.5,18,N,TPCE,84,144,88,13,37,1
672,2804.5,17,N,TPCE,96,144,1213,13,37,1
683,2474.6,15,N,TPCE,89,144,2029,13,37,1
706,2639.5,16,N,TPCE,110,144,2376,13,37,1
722,1649.7,10,N,TPCE,92,144,906,13,37,1
746,1154.8,7,N,TPCE,116,144,1110,13,37,1
762,2639.5,16,N,TPCE,105,144,2488,13,37,1
766,989.8,6,N,TPCE,93,144,577,13,37,1
789,494.9,3,N,TPCE,115,144,480,13,37,1
790,1649.7,10,N,TPCE,119,144,1144,13,37,1
813,2969.5,18,N,TPCE,117,144,2368,13,37,1
818,2144.6,13,N,TPCE,89,144,398,13,37,1
823,659.9,4,N,TPCE,108,144,580,13,37,1
825,1484.7,9,N,TPCE,100,144,545,13,37,1
827,989.8,6,N,TPCE,99,144,987,13,37,1
866,2309.6,14,N,TPCE,94,144,714,13,37,1
872,1814.7,11,N,TPCE,82,144,2403,13,37,1
899,494.9,3,N,TPCE,121,144,181,13,37,1
903,989.8,6,N,TPCE,100,144,2301,13,37,1
910,3134.4,19,N,TPCE,95,144,2307,13,37,1
933,1814.7,11,N,TPCE,111,144,1304,13,37,1
935,659.9,4,N,TPCE,117,144,895,13,37,1
941,3134.4,19,N,TPCE,83,144,333,13,37,1
962,329.9,2,N,TPCE,120,144,699,13,37,1
966,3299.4,20,N,TPCE,120,144,2341,13,37,1
971,1319.8,8,N,TPCE,117,144,1159,13,37,1
1002,2639.5,16,N,TPCE,98,144,662,13,37,1
1004,3299.4,20,N,TPCE,115,144,1815,13,37,1
1022,2309.6,14,N,TPCE,93,144,2444,13,37,1
1027,989.8,6,N,TPCE,114,144,42,13,37,1
1052,2309.6,14,N,TPCE,117,144,1660,13,37,1
1055,329.9,2,N,TPCE,120,144,1886,13,37,1
1068,2309.6,14,N,TPCE,114,144,1032,13,37,1
1085,1649.7,10,N,TPCE,101,144,859,13,37,1
1095,3134.4,19,N,TPCE,88,144,481,13,37,1
1112,2639.5,16,N,TPCE,88,144,1600,13,37,1
1116,2969.5,18,N,TPCE,99,144,878,13,37,1
1117,3299.4,20,N,TPCE,92,144,2069,13,37,1
1139,824.9,5,N,TPCE,110,144,1104,13,37,1
1147,2639.5,16,N,TPCE,93,144,1529,13,37,1
1156,1319.8,8,N,TPCE,120,144,1789,13,37,1
1157,1814.7,11,N,TPCE,100,144,661,13,37,1
1164,2309.6,14,N,TPCE,88,144,2110,13,37,1
1165,3299.4,20,N,TPCE,121,144,1053,13,37,1
1166,2969.5,18,N,TPCE,84,144,1703,13,37,1
1175,824.9,5,N,TPCE,83,144,633,13,37,1
1184,2474.6,15,N,TPCE,96,144,1395,13,37,1
1194,1649.7,10,N,TPCE,82,144,2001,13,37,1
1195,1319.8,8,N,TPCE,101,144,970,13,37,1
1227,2144.6,13,N,TPCE,89,144,1148,13,37,1
1228,2639.5,16,N,TPCE,101,144,656,13,37,1
1231,1649.7,10,N,TPCE,115,144,1471,13,37,1
1245,1649.7,10,N,TPCE,121,144,2304,13,37,1
1253,1649.7,10,N,TPCE,81,144,2376,13,37,1
1254,2639.5,16,N,TPCE,114,144,2011,13,37,1
1257,2969.5,18,N,TPCE,92,144,1804,13,37,1
1261,2639.5,16,N,TPCE,101,144,1118,13,37,1
1262,329.9,2,N,TPCE,84,144,843,13,37,1
1264,2804.5,17,N,TPCE,111,144,341,13,37,1
1266,2804.5,17,N,TPCE,98,144,290,13,37,1
1282,1814.7,11,N,TPCE,102,144,1415,13,37,1
1283,659.9,4,N,TPCE,111,144,484,13,37,1
1286,989.8,6,N,TPCE,110,144,1123,13,37,1
1289,1814.7,11,N,TPCE,110,144,1123,13,37,1
1295,329.9,2,N,TPCE,112,144,1560,13,37,1
1296,2804.5,17,N,TPCE,121,144,1749,13,37,1
1322,2969.5,18,N,TPCE,105,144,1070,13,37,1
1327,2969.5,18,N,TPCE,114,144,708,13,37,1
1343,659.9,4,N,TPCE,110,144,2056,13,37,1
1344,1814.7,11,N,TPCE,98,144,1439,13,37,1
1349,3134.4,19,N,TPCE,91,144,1686,13,37,1
1363,1649.7,10,N,TPCE,96,144,2186,13,37,1
1387,2144.6,13,N,TPCE,107,144,727,13,37,1
1414,2474.6,15,N,TPCE,93,144,1290,13,37,1
1425,1154.8,7,N,TPCE,121,144,978,13,37,1
1426,2309.6,14,N,TPCE,96,144,675,13,37,1
1444,1979.6,12,N,TPCE,88,144,447,13,37,1
1463,1979.6,12,N,TPCE,102,144,1956,13,37,1
1466,2309.6,14,N,TPCE,107,144,751,13,37,1
