ProductID,ProductName,Price1,Price2,UnitCost,SupplierName,Attn,SupplierAddress,Suppliercity,Supplierstate,SupplierZipcode,ProductTypeID,origin,supplierID
20,Flake Photo Equipment            ,232.3,204.4,194.2,Sinclair Broadcast Group Inc. ,Attn : Carla Shelby       ,6037 Ecuadorian Street,Clinton         ,MI,49236,1,TPCW,2
32,Chartable Photo Equipment        ,410.2,347.4,312.7,Black Hills Corporation       ,Attn : Edena Gilbert      ,1618 Greenland Street ,Tallahassee     ,FL,32304,1,TPCW,3
35,Chromium Photo Equipment         ,565.5,457.5,425.5,Fedders Corporation           ,Attn : Virgil Hubert      ,7844 Carelessly Drive ,Overlook        ,WA,98366,1,TPCW,9
36,Bomber Photo Equipment           ,461.3,400.4,380.4,American General Ventures Inc ,Attn : Kimberly Yarborough,1616 Goggles Drive    ,Sterling        ,KS,67579,1,TPCW,8
71,Simulations Photo Equipment      ,318.4,255.7,245.4,Black Hills Corporation       ,Attn : Edena Gilbert      ,1618 Greenland Street ,Tallahassee     ,FL,32304,1,TPCW,3
77,Vastest Photo Equipment          ,498.1,442.3,420.2,Sinclair Broadcast Group Inc. ,Attn : Carla Shelby       ,6037 Ecuadorian Street,Clinton         ,MI,49236,1,TPCW,2
6,Planetesimal Manufacturing Equip ,347.3,307,285.5,First Bancshares Inc Mo       ,Attn : Jensine Lease      ,11885 Aural Turnpike  ,Louisville      ,KY,40253,2,TPCW,6
8,Septembers Manufacturing Equip   ,584.3,523,517.8,Fedders Corporation           ,Attn : Virgil Hubert      ,7844 Careless Drive   ,Overlook        ,WA,98366,2,TPCW,9
18,Miniaturizing Manufacturing Equip,456.2,379.6,353,American General Ventures Inc ,Attn : Kimberly Yarborough,1616 Goggles Drive    ,Sterling        ,KS,67579,2,TPCW,8
24,Bandage Manufacturing Equip      ,298,267,253.7,Sinclair Broadcast Group Inc. ,Attn : Carla Shelby       ,6037 Ecuadorian Street,Clinton         ,MI,49236,2,TPCW,2
34,Sailors Manufacturing Equip      ,340.5,290.4,278.8,Dollar General Corporation    ,Attn : Antoinette Hickey  ,3988 Chanced Avenue   ,S Middleton     ,PA,17007,2,TPCW,5
40,Insensitivity Manufacturing Equip,200.7,180.4,169.6,First Bancshares Inc Mo       ,Attn : Jensine Lease      ,11885 Aural Turnpike  ,Louisville      ,KY,40253,2,TPCW,6
44,Birthdays Manufacturing Equip    ,196.6,173.2,161.1,First Bancshares Inc Mo       ,Attn : Jensine Lease      ,11885 Aural Turnpike  ,Louisville      ,KY,40253,2,TPCW,6
60,Habitually Manufacturing Equip   ,509.3,419.1,394,Black Hills Corporation       ,Attn : Edena Gilbert      ,1618 Greenland Street ,Tallahassee     ,FL,32304,2,TPCW,3
