InvoiceID,Amt,Qty,Discounted,InvoiceSource,customer_SK,product_SK,SaleDate_SK,supplier_SK,Method_SK,OrderDate_SK
18,19305,117,N,TPCW,95,144,1961,13,37,1
161,31515,191,N,TPCW,95,144,1116,13,37,1
172,2310,14,N,TPCW,94,144,544,13,37,1
331,5940,36,N,TPCW,95,144,859,13,37,1
525,6600,40,N,TPCW,81,144,1730,13,37,1
550,9075,55,N,TPCW,87,144,1541,13,37,1
592,1650,10,N,TPCW,99,144,1014,13,37,1
616,13365,81,N,TPCW,85,144,1465,13,37,1
632,7095,43,N,TPCW,91,144,782,13,37,1
858,10560,64,N,TPCW,112,144,1943,13,37,1
882,19140,116,N,TPCW,120,144,1724,13,37,1
1210,22605,137,N,TPCW,88,144,1440,13,37,1
1211,3960,24,N,TPCW,82,144,830,13,37,1
1220,23595,143,N,TPCW,88,144,1074,13,37,1
1253,4950,30,N,TPCW,120,144,1958,13,37,1
1291,17985,109,N,TPCW,100,144,857,13,37,1
1309,26235,159,N,TPCW,114,144,1106,13,37,1
1316,27720,168,N,TPCW,114,144,11,13,37,1
1370,30690,186,N,TPCW,111,144,640,13,37,1
1464,25905,157,N,TPCW,84,144,1248,13,37,1
1483,26565,161,N,TPCW,84,144,1325,13,37,1
1513,28545,173,N,TPCW,81,144,2041,13,37,1
1522,21450,130,N,TPCW,103,144,368,13,37,1
1566,1815,11,N,TPCW,102,144,365,13,37,1
1610,10725,65,N,TPCW,111,144,972,13,37,1
1626,18645,113,N,TPCW,117,144,889,13,37,1
1744,10560,64,N,TPCW,118,144,1126,13,37,1
1870,18480,112,N,TPCW,115,144,212,13,37,1
1947,1815,11,N,TPCW,99,144,546,13,37,1
2167,10890,66,N,TPCW,116,144,1406,13,37,1
2188,2805,17,N,TPCW,95,144,2027,13,37,1
2210,20460,124,N,TPCW,104,144,1583,13,37,1
2256,17985,109,N,TPCW,82,144,367,13,37,1
2335,8250,50,N,TPCW,87,144,1596,13,37,1
2404,22275,135,N,TPCW,91,144,924,13,37,1
2413,6600,40,N,TPCW,99,144,1958,13,37,1
2463,13695,83,N,TPCW,94,144,1997,13,37,1
2482,30855,187,N,TPCW,91,144,307,13,37,1
2489,16830,102,N,TPCW,94,144,1516,13,37,1
2567,23595,143,N,TPCW,101,144,1588,13,37,1
2699,9405,57,N,TPCW,84,144,1311,13,37,1
2840,7425,45,N,TPCW,119,144,1907,13,37,1
2886,16665,101,N,TPCW,90,144,319,13,37,1
3211,19470,118,N,TPCW,119,144,1244,13,37,1
3219,14685,89,N,TPCW,91,144,1849,13,37,1
3234,4455,27,N,TPCW,110,144,67,13,37,1
3332,31185,189,N,TPCW,114,144,825,13,37,1
3409,27720,168,N,TPCW,87,144,1975,13,37,1
3438,10560,64,N,TPCW,88,144,543,13,37,1
3593,4620,28,N,TPCW,83,144,1506,13,37,1
3654,21285,129,N,TPCW,115,144,2001,13,37,1
3726,12045,73,N,TPCW,84,144,611,13,37,1
3772,5445,33,N,TPCW,117,144,518,13,37,1
3824,17160,104,N,TPCW,92,144,1158,13,37,1
3866,17820,108,N,TPCW,83,144,1337,13,37,1
3965,17655,107,N,TPCW,91,144,291,13,37,1
4132,6270,38,N,TPCW,94,144,1609,13,37,1
4170,5940,36,N,TPCW,96,144,1154,13,37,1
4172,9405,57,N,TPCW,113,144,1892,13,37,1
4232,13860,84,N,TPCW,101,144,2045,13,37,1
4235,2145,13,N,TPCW,118,144,1699,13,37,1
4340,27720,168,N,TPCW,90,144,1685,13,37,1
4406,22770,138,N,TPCW,115,144,1910,13,37,1
4415,30030,182,N,TPCW,96,144,786,13,37,1
4430,4125,25,N,TPCW,109,144,106,13,37,1
4721,7425,45,N,TPCW,99,144,224,13,37,1
4983,4455,27,N,TPCW,109,144,228,13,37,1
5161,9240,56,N,TPCW,118,144,1481,13,37,1
5221,32340,196,N,TPCW,111,144,726,13,37,1
5232,5280,32,N,TPCW,108,144,1713,13,37,1
5319,29700,180,N,TPCW,81,144,885,13,37,1
5488,32835,199,N,TPCW,115,144,1729,13,37,1
5669,19635,119,N,TPCW,88,144,1539,13,37,1
5677,29535,179,N,TPCW,103,144,1960,13,37,1
5711,17325,105,N,TPCW,109,144,633,13,37,1
5725,18975,115,N,TPCW,83,144,1240,13,37,1
5880,32175,195,N,TPCW,98,144,782,13,37,1
6278,22605,137,N,TPCW,84,144,1523,13,37,1
6286,16005,97,N,TPCW,117,144,1972,13,37,1
6351,22770,138,N,TPCW,102,144,1904,13,37,1
6410,18315,111,N,TPCW,117,144,2100,13,37,1
6463,9405,57,N,TPCW,86,144,796,13,37,1
6480,11550,70,N,TPCW,87,144,199,13,37,1
6572,14025,85,N,TPCW,119,144,1903,13,37,1
6698,19140,116,N,TPCW,93,144,429,13,37,1
6758,22440,136,N,TPCW,99,144,752,13,37,1
6797,29205,177,N,TPCW,103,144,492,13,37,1
6814,3300,20,N,TPCW,106,144,530,13,37,1
6829,5280,32,N,TPCW,108,144,2079,13,37,1
6923,26400,160,N,TPCW,110,144,544,13,37,1
7092,7095,43,N,TPCW,115,144,1524,13,37,1
7112,4950,30,N,TPCW,108,144,1803,13,37,1
7182,22935,139,N,TPCW,107,144,1134,13,37,1
